"filename", "language", "YAML", "Groovy", "Properties", "Dart", "Markdown", "XML", "Go", "Swift", "GraphQL", "C++", "JSON", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_server/graph/schema.graphqls", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/juanma/development/golang/happ/happ_server/graph/user.graphqls", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 8, 18, 188
"/Users/juanma/development/golang/happ/happ_server/graph/user.resolvers.go", "Go", 0, 0, 0, 0, 0, 0, 1151, 0, 0, 0, 0, 0, 0, 140, 312, 1603
"/Users/juanma/development/golang/happ/happ_server/hash/hash.go", "Go", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 8, 25, 131
"/Users/juanma/development/golang/happ/happ_server/jwtActions/jwtActions.go", "Go", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 69, 44, 204
"/Users/juanma/development/golang/happ/happ_server/jwtActions/jwtPayload.go", "Go", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/juanma/development/golang/happ/happ_server/main.go", "Go", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 24, 24, 103
"/Users/juanma/development/golang/happ/happ_server/middleware/contextMiddleware.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 16, 54
"/Users/juanma/development/golang/happ/happ_server/migration/main.go", "Go", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 7, 45
"/Users/juanma/development/golang/happ/happ_server/resolverUtils/userInputValidation.go", "Go", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 125, 63, 336
"/Users/juanma/development/golang/happ/happ_server/tools.go", "Go", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 3, 9
"/Users/juanma/development/golang/happ/happ_server/utils/AES-GCM_Encryption/AES-GCM_Encryption.go", "Go", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 11, 10, 53
"/Users/juanma/development/golang/happ/happ_server/utils/DBTransactions/DBTransactions.go", "Go", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 12, 4, 33
"/Users/juanma/development/golang/happ/happ_server/utils/aws/awsClients.go", "Go", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 14, 59
"/Users/juanma/development/golang/happ/happ_server/utils/aws/awsParams/parameterStore.go", "Go", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 2, 32, 168
"/Users/juanma/development/golang/happ/happ_server/utils/aws/awsS3/s3.go", "Go", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/Users/juanma/development/golang/happ/happ_server/utils/aws/createParam/createParam.go", "Go", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 226, 70, 297
"/Users/juanma/development/golang/happ/happ_server/utils/entClient.go", "Go", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/juanma/development/golang/happ/happ_server/utils/getUserIdFromJWT.go", "Go", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 7, 23
"/Users/juanma/development/golang/happ/happ_server/utils/isAuth.go", "Go", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 15, 52
"/Users/juanma/development/golang/happ/happ_server/utils/meilisearch/meiliClient.go", "Go", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 6, 34
"/Users/juanma/development/golang/happ/happ_server/utils/meilisearch/meilisearch.go", "Go", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 8, 32, 126
"/Users/juanma/development/golang/happ/happ_server/utils/newEventUtils/eventKeys.go", "Go", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 12, 16, 69
"/Users/juanma/development/golang/happ/happ_server/utils/redis/redis.go", "Go", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 14, 45
"/Users/juanma/development/golang/happ/happ_server/utils/redis/redisClient.go", "Go", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"Total", "-", 128, 89, 8, 12981, 13, 123, 30189, 12, 671, 1, 145, 685, 99, 5441, 5995, 56580
