"filename", "language", "XML", "YAML", "Properties", "Groovy", "Dart", "GraphQL", "C++", "Markdown", "Swift", "Go", "Go Module File", "JSON", "Go Checksum File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_server/ent/eventuser_delete.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 9, 13, 88
"/Users/juanma/development/golang/happ/happ_server/ent/eventuser_query.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 508, 0, 0, 0, 68, 42, 618
"/Users/juanma/development/golang/happ/happ_server/ent/eventuser_update.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 434, 0, 0, 0, 47, 51, 532
"/Users/juanma/development/golang/happ/happ_server/ent/external.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 4, 17
"/Users/juanma/development/golang/happ/happ_server/ent/follow.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 34, 17, 184
"/Users/juanma/development/golang/happ/happ_server/ent/follow/follow.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 29, 15, 122
"/Users/juanma/development/golang/happ/happ_server/ent/follow/where.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 30, 33, 200
"/Users/juanma/development/golang/happ/happ_server/ent/follow_create.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 433, 0, 0, 0, 137, 64, 634
"/Users/juanma/development/golang/happ/happ_server/ent/follow_delete.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 9, 13, 88
"/Users/juanma/development/golang/happ/happ_server/ent/follow_query.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 507, 0, 0, 0, 68, 42, 617
"/Users/juanma/development/golang/happ/happ_server/ent/follow_update.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 351, 0, 0, 0, 35, 39, 425
"/Users/juanma/development/golang/happ/happ_server/ent/generate.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 5
"/Users/juanma/development/golang/happ/happ_server/ent/gql_collection.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 561, 0, 0, 0, 6, 25, 592
"/Users/juanma/development/golang/happ/happ_server/ent/gql_edge.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 1, 14, 118
"/Users/juanma/development/golang/happ/happ_server/ent/gql_mutation_input.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 32, 18, 168
"/Users/juanma/development/golang/happ/happ_server/ent/gql_node.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 17, 26, 342
"/Users/juanma/development/golang/happ/happ_server/ent/gql_pagination.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 930, 0, 0, 0, 46, 92, 1068
"/Users/juanma/development/golang/happ/happ_server/ent/gql_transaction.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 5, 31
"/Users/juanma/development/golang/happ/happ_server/ent/hook/hook.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 56, 33, 263
"/Users/juanma/development/golang/happ/happ_server/ent/migrate/migrate.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 25, 10, 66
"/Users/juanma/development/golang/happ/happ_server/ent/migrate/schema.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 14, 5, 185
"/Users/juanma/development/golang/happ/happ_server/ent/mutation.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3466, 0, 0, 0, 661, 436, 4563
"/Users/juanma/development/golang/happ/happ_server/ent/predicate/predicate.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 9, 26
"/Users/juanma/development/golang/happ/happ_server/ent/runtime.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 52, 4, 168
"/Users/juanma/development/golang/happ/happ_server/ent/runtime/runtime.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 4, 11
"/Users/juanma/development/golang/happ/happ_server/ent/schema/device.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 6, 46
"/Users/juanma/development/golang/happ/happ_server/ent/schema/event.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 11, 9, 85
"/Users/juanma/development/golang/happ/happ_server/ent/schema/eventReminderNotfication.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 7, 52
"/Users/juanma/development/golang/happ/happ_server/ent/schema/eventUser.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 5, 7, 61
"/Users/juanma/development/golang/happ/happ_server/ent/schema/follow.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 12, 9, 67
"/Users/juanma/development/golang/happ/happ_server/ent/schema/schematype/point.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 7, 8, 52
