"filename", "language", "Dart", "XML", "GraphQL", "YAML", "JSON", "Go", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEvent/NPDScreen/photosDialog.dart", "Dart", 405, 0, 0, 0, 0, 0, 0, 0, 13, 42, 460
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEvent/widgets/NextButton.dart", "Dart", 121, 0, 0, 0, 0, 0, 0, 0, 6, 11, 138
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEvent/widgets/loadingDialog.dart", "Dart", 141, 0, 0, 0, 0, 0, 0, 0, 8, 4, 153
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/DLScreen.dart", "Dart", -133, 0, 0, 0, 0, 0, 0, 0, -21, -9, -163
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/IScreen.dart", "Dart", -224, 0, 0, 0, 0, 0, 0, 0, -28, -15, -267
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/NPDScreen.dart", "Dart", -140, 0, 0, 0, 0, 0, 0, 0, -58, -7, -205
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/DLScreenSearchBar.dart", "Dart", -143, 0, 0, 0, 0, 0, 0, 0, -2, -5, -150
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/NextButton.dart", "Dart", -120, 0, 0, 0, 0, 0, 0, 0, -6, -11, -137
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/PictureSlider.dart", "Dart", -111, 0, 0, 0, 0, 0, 0, 0, -6, -7, -124
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/dateAndTimeFields.dart", "Dart", -68, 0, 0, 0, 0, 0, 0, 0, -4, -8, -80
